transactionID	items
1	{yogurt}
2	{finished products,misc. beverages}
3	{frozen meals,rolls/buns,brown bread}
4	{oil}
5	{chicken,curd,butter milk,UHT-milk,rolls/buns,fruit/vegetable juice,newspapers}
6	{frankfurter,bottled beer}
7	{ham,whole milk,semi-finished bread}
8	{whole milk,rolls/buns,coffee}
9	{pip fruit,other vegetables,frozen meals}
10	{yogurt,waffles,hygiene articles}
11	{liver loaf,root vegetables,salty snack,cake bar,specialty chocolate}
12	{pip fruit,dish cleaner,napkins}
13	{pork,soda,fruit/vegetable juice,bottled beer,liquor}
14	{whole milk,curd,butter milk,beverages,tidbits,long life bakery product,waffles,dental care}
15	{berries,herbs,pot plants}
16	{sausage,liver loaf,other vegetables,cream cheese ,pastry,soap,shopping bags}
17	{cream}
18	{pip fruit,semi-finished bread,soups}
19	{rolls/buns,canned beer}
20	{pastry}
21	{tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags}
22	{soda}
23	{root vegetables,other vegetables,frozen vegetables,canned vegetables,coffee}
24	{zwieback,bottled beer,hygiene articles}
25	{hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags}
26	{rolls/buns}
27	{domestic eggs,white wine}
28	{ham,whipped/sour cream,frozen vegetables,rolls/buns,seasonal products}
29	{cat food}
30	{ham,beef,citrus fruit,newspapers}
31	{beverages,sauces,sweet spreads,pot plants}
32	{specialty chocolate,photo/film}
33	{whole milk,rolls/buns,shopping bags}
34	{frankfurter,sausage,beef,tropical fruit,berries,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,specialty cheese,frozen fish,rolls/buns}
35	{citrus fruit,tropical fruit,grapes,dessert,cream cheese ,rolls/buns,bottled water,fruit/vegetable juice}
36	{onions,mayonnaise,rolls/buns,mustard,fruit/vegetable juice}
37	{hamburger meat,other vegetables,whole milk,cream,oil,sugar,baking powder,canned beer,baby cosmetics}
38	{sausage,root vegetables,whole milk,butter milk,yogurt,rolls/buns,pastry}
39	{ham,whole milk,yogurt,soda,red/blush wine}
40	{beef,citrus fruit,berries,root vegetables,brown bread,detergent}
41	{whole milk,rolls/buns}
42	{brown bread,bottled water,soda,fruit/vegetable juice,bottled beer,newspapers,photo/film}
